年份,特材代碼,特材代碼前五碼,核價類別名稱,中英文品名,產品型號/規格,單位,支付點數,申請者簡稱,許可證字號,中文品名,英文品名,點數變更記錄
111, CBC07VH05NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長25:99mm)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:2.5;5.0CM)""GORE""VIABAHN ENDOPROSTHESIS-HEPARIN BIOACTIVE SURFACE",VBH-05-02;05-02-W;VBH-06;07;08-02;05-01;02-W;VBH-09-05-02-W;VBH-10;11;13-02;05-02-W;VBJ-05:08-02;05-02-W, 組,64552.0,戈爾,衛署醫器輸字第019589號,,,0
111, CBC07VR05NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長25:99mm)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:2.5;5.0CM)""GORE""VIABAHN ENDOPROSTHESIS WITH HEPARIN BIOACTIVE SURFACE(L:2.5;5.0CM)",[VBH;VBHR-(05-02;05-02W);(06;07;08-02;05-01;02-W)];(VBH-09-05-02W);(VBH-10;11;13-02;05-02W);(VBJR-05:08-02;05-02W);(擴增產品型號VBHR-09;10;11;13-05-01;02-W，自1090701生效)；[VBH;VBHR-(05-02;05-02W);(06;07;08-02;05-01;02-W)];(VBH-09-05-02W);(VBH-10;11;13-02;05-02W);(VBJR-05:08-02;05-02W);(VBHR-09;10;11;13-05-01;02-W，自1090701生效);(刪除VBHR-09;10;11;13-05-01;02-W，自1100101生效)；[VBH;VBHR-(05-02;05-02W);(06;07;08-02;05-01;02-W)];(VBH-09-05-02W);(VBH-10;11;13-02;05-02W);(VBJR-05:08-02;05-02W);(VBHR-09;10;11;13-05-01;02-W，自1090701生效);(刪除VBHR-09;10;11;13-05-01;02-W，自1100101生效);(擴增產品型號VBHR-09;10;11;13-05-01;02-W，自1101101生效), 組,64552.0,戈爾,衛部醫器輸字第031607號,,,0
111, CBC07VH10NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長100:149mm)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:10CM)""GORE""VIABAHN ENDOPROSTHESIS-HEPARIN BIOACTIVE SURFACE",VBH-05;09;10;11;13-10-02-W;VBH-06;07;08-10-01;02-W;VBJ-05:08-10-02-W, 組,76050.0,戈爾,衛署醫器輸字第019589號,,,0
111, CBC07VR10NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長100:149mm)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:10CM)""GORE""VIABAHN ENDOPROSTHESIS WITH HEPARIN BIOACTIVE SURFACE(L:10CM)",(VBH-05;09;10;11;13-10-02W);(VBHR-05-10-02W);(VBH;VBHR-06:08-10-01;02-W);(VBJR-05:08-10-02W);(擴增產品型號VBHR-09;10;11;13-10-01;02-W，自1090701生效)；(VBH-05;09;10;11;13-10-02W);(VBHR-05-10-02W);(VBH;VBHR-06:08-10-01;02-W);(VBJR-05:08-10-02W);(VBHR-09;10;11;13-10-01;02-W，自1090701生效);(刪除VBHR-09;10;11;13-10-01;02-W，自1100101生效)；(VBH-05;09;10;11;13-10-02W);(VBHR-05-10-02W);(VBH;VBHR-06:08-10-01;02-W);(VBJR-05:08-10-02W);(VBHR-09;10;11;13-10-01;02-W，自1090701生效);(刪除VBHR-09;10;11;13-10-01;02-W，自1100101生效);(擴增產品型號VBHR-09;10;11;13-10-01;02-W，自1101101生效), 組,76050.0,戈爾,衛部醫器輸字第031607號,,,0
111, CBC07VH15NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長150mm以上)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:15CM)""GORE""VIABAHN ENDOPROSTHESIS-HEPARIN BIOACTIVE SURFACE",VBH-05;09;10-15-02-W;VBH-06;07;08-15-01;02-W;VBJ-05:08-15-02-W, 組,91800.0,戈爾,衛署醫器輸字第019589號,,,0
111, CBC07VR15NGX,CBC07,周邊動脈血管支架及傳輸裝置-含生物表面肝素塗層(自膨式支架含人工血管，支架長150mm以上)," ""戈爾""威爾棒周邊血管支架-含生物表面肝素塗層(L:15CM)""GORE""VIABAHN ENDOPROSTHESIS WITH HEPARIN BIOACTIVE SURFACE(L:15CM)",(VBH-05;09;10-15-02W);(VBHR-05-15-02W);(VBH;VBHR-06;07;08-15-01;02-W);(VBJR-05:08-15-02W);(擴增產品型號VBHR-09;10-15-01;02-W，自1090701生效)；(VBH-05;09;10-15-02W);(VBHR-05-15-02W);(VBH;VBHR-06;07;08-15-01;02-W);(VBJR-05:08-15-02W);(VBHR-09;10-15-01;02-W，自1090701生效);(刪除VBHR-09;10-15-01;02-W，自1100101生效)；(VBH-05;09;10-15-02W);(VBHR-05-15-02W);(VBH;VBHR-06;07;08-15-01;02-W);(VBJR-05:08-15-02W);(VBHR-09;10-15-01;02-W，自1090701生效);(刪除VBHR-09;10-15-01;02-W，自1100101生效);(擴增產品型號VBHR-09;10-15-01;02-W，自1101101生效), 組,91800.0,戈爾,衛部醫器輸字第031607號,,,0
111, FHGD1200MMJL,FHGD1,Dacron無須預凝式血管/直型內徑<=10MM，20-29CM," ""日本來富恩""喜路尼爾人工血管""JAPAN LIFELINE""J GRAFT SHIELD NEO D:9MM L:20CM",JNS-0920TW, 條,5723.0,吉時洋行,衛部醫器輸字第032302號,,,0
111, FHGD150079JL,FHGD1,Dacron無須預凝式血管/直型內徑<=10MM，50-59CM," ""日本來富恩""喜路尼爾人工血管""JAPAN LIFELINE""J GRAFT SHIELD NEO D:7MM-9MM L:50CM",JNS-07;09-50TW, 條,9867.0,吉時洋行,衛部醫器輸字第032302號,,,0
111, FHGD1GW660TM,FHGD1,Dacron無須預凝式血管/直型內徑<=10MM，60-69CM," ""泰爾茂""傑衛人工血管 D:6:10MM;L:60CM""TERUMO""GELWEAVE GELATIN SEALED POLYESTER VASCULAR PROSTHESES",73600-6:10, 條,13580.0,泰爾茂,衛署醫器輸字第017053號,,,0
111, FHGD4330MMJL,FHGD4,Dacron無須預凝式血管/Y型(BIF)，30-39CM," ""日本來富恩""喜路尼爾人工血管-Y型(BIF)""JAPAN LIFELINE""J GRAFT SHIELD NEO L33CM",JNAY-16;18-11TW, 條,10295.0,吉時洋行,衛部醫器輸字第032302號,,,0
111, FHGDA400MMJL,FHGDA,Dacron無須預凝式血管/直型內徑20-38MM，40-49CM," ""日本來富恩""喜路尼爾人工血管""JAPAN LIFELINE""J GRAFT SHIELD NEO D:20MM-34MM L:40CM",JNS-20;22;24;26;28;30;32;34-40TW, 條,11996.0,吉時洋行,衛部醫器輸字第032302號,,,0
111, SAST4DSTEA2C,SAST4,端對端吻合器," ""柯惠""端對端環形吻合器""Covidien"" EEA AUTO CIRCULAR STAPLER WITH DST SERIES TECHNOLOGY",EEA21;25;28;31;33;2135;2535;2835;EEAXL21;25;28;31;33;2135;2535;2835, 組,11588.0,美敦力,衛署醫器輸字第016787號,,,0
111, SAST4RV1LA2C,SAST4,端對端吻合器-經口輸送導管, “柯惠”經口圓形吻合釘砧導引系統 “COVIDIEN” EEA ORVIL AUTO SUTURE TRANSORAL CIRCULAR STAPLER ANVIL WITH ADVANCING PROXIMAL GUIDE SUTURE,EEAORVIL21A;EEAORVIL25A, 組,8438.0,美敦力,衛部醫器輸字第029630號,,,0
111, SAU07ECR35ET,SAU07,鈦金屬釘匣/旋轉式鈦金屬釘匣(手術切割縫合用)30mm～44mm(4排釘/6排釘)," ""愛惜康""愛喜龍可彎式高階定位電動血管縫合器-縫合釘""ETHICON""ECHELON FLEX POWERED VASCULAR STAPLER-RELOAD",VASECR35, 支,4000.0,壯生,衛部醫器輸字第027803號,,,0
111, SAU07SR30BEG,SAU07,鈦金屬釘匣/旋轉式鈦金屬釘匣(手術切割縫合用)30mm～44mm(4排釘/6排釘), “逸思蘇州”一次性腔鏡用旋轉型直線切割吻合器及釘匣-釘匣(30MM)“EZISURG SUZHOU” ENDOSCOPIC LINEAR CUTTING STAPLERS AND LOADING UNITS FOR SINGLE USE-LOADING UNITS(30MM),SL30W;SL30B;SR30W;SR30B, 支,4000.0,邵博士顧問有限公司,衛部醫器陸輸字第001119號,,,0
111, SAU07304162C,SAU07,鈦金屬釘匣/旋轉式鈦金屬釘匣(手術切割縫合用)30mm～44mm(4排釘/6排釘)," ""柯惠"" ＧＩＡ自動手術縫合器-縫合釘匣""Covidien"" AUTO SUTURE MULTIFIRE GIA DISPOSABLE SURGICAL STAPLER-STAPLE",030416;030418;030419, EA,4000.0,美敦力,衛署醫器輸字第006799號,,,0
111, SAU07304502C,SAU07,鈦金屬釘匣/旋轉式鈦金屬釘匣(手術切割縫合用)30mm～44mm(4排釘/6排釘)," ""柯惠""GIA自動手術縫合器-旋轉式釘匣(30MM)""Covidien"" AUTO SUTURE MULTIFIRE GIA DISPOSABLE SURGICAL STAPLER-ROTICULATOR CARTRIDGE 30MM STAPLE",030450;030451;030452(030451自1060901刪除), 支,4000.0,美敦力,衛署醫器輸字第006799號,,,0
111, SAU07304512C,SAU07,鈦金屬釘匣/旋轉式鈦金屬釘匣(手術切割縫合用)30mm～44mm(4排釘/6排釘)," ""柯惠""旋轉式內視鏡胃腸自動吻合釘匣""COVIDIEN""AUTO SUTURE ENDO GIA UNIVERSAL ROTICULATOR SINGLE USE LOADING UNIT",30451, EA,4000.0,美敦力,衛署醫器輸字第017044號,,,0
